EmployeeID,NationalIDNumber,ContactID,LoginID,ManagerID,Title,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate,HumanResources_EmployeeAddress,HumanResources_EmployeeDepartmentHistory,HumanResources_EmployeePayHistory,HumanResources_JobCandidate,Sales_SalesPerson
1,14417807,1209,adventure-works\guy1,16,Production Technician - WC60,15 05 72 00:00,M,M,31 07 96 00:00,0,21,30,-1,{AAE1D04A-C237-4974-B4D5-935247737718},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
2,253022876,1030,adventure-works\kevin0,6,Marketing Assistant,03 06 77 00:00,S,M,26 02 97 00:00,0,42,41,-1,{1B480240-95C0-410F-A717-EB29943C8886},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
3,509647174,1002,adventure-works\roberto0,12,Engineering Manager,13 12 64 00:00,M,M,12 12 97 00:00,-1,2,21,-1,{9BBBFB2C-EFBB-4217-9AB7-F97689328841},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
4,112457891,1290,adventure-works\rob0,3,Senior Tool Designer,23 01 65 00:00,S,M,05 01 98 00:00,0,48,80,-1,{59747955-87B8-443F-8ED4-F8AD3AFDF3A9},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
5,480168528,1009,adventure-works\thierry0,263,Tool Designer,29 08 49 00:00,M,M,11 01 98 00:00,0,9,24,-1,{1D955171-E773-4FAD-8382-40FD898D5D4D},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
6,24756624,1028,adventure-works\david0,109,Marketing Manager,19 04 65 00:00,S,M,20 01 98 00:00,-1,40,40,-1,{E87029AA-2CBA-4C03-B948-D83AF0313E28},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
7,309738752,1070,adventure-works\jolynn0,21,Production Supervisor - WC60,16 02 46 00:00,S,F,26 01 98 00:00,0,82,61,-1,{2CC71B96-F421-485E-9832-8723337749BB},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
8,690627818,1071,adventure-works\ruth0,185,Production Technician - WC10,06 07 46 00:00,M,F,06 02 98 00:00,0,83,61,-1,{3E3B6905-209E-442E-B8A8-9A0980241C6A},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
9,695256908,1005,adventure-works\gail0,3,Design Engineer,29 10 42 00:00,M,F,06 02 98 00:00,-1,5,22,-1,{EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
10,912265825,1076,adventure-works\barry0,185,Production Technician - WC10,27 04 46 00:00,S,M,07 02 98 00:00,0,88,64,-1,{756A60AE-378F-43D8-9F93-1E821D1EAF52},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
11,998320692,1006,adventure-works\jossef0,3,Design Engineer,11 04 49 00:00,M,M,24 02 98 00:00,-1,6,23,-1,{E39056F1-9CD5-478D-8945-14ACA7FBDCDD},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
12,245797967,1001,adventure-works\terri0,109,Vice President of Engineering,01 09 61 00:00,S,F,03 03 98 00:00,-1,1,20,-1,{45E8F437-670D-4409-93CB-F9424A40D6EE},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
13,844973625,1072,adventure-works\sidney0,185,Production Technician - WC10,01 10 46 00:00,M,M,05 03 98 00:00,0,84,62,-1,{40D603D9-7F99-48B7-A580-B17CF429BED2},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
14,233069302,1067,adventure-works\taylor0,21,Production Supervisor - WC50,03 05 46 00:00,M,M,11 03 98 00:00,0,79,59,-1,{28F7EF89-2793-4989-B67D-25046543C1E3},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
15,132674823,1073,adventure-works\jeffrey0,185,Production Technician - WC10,12 08 46 00:00,S,M,23 03 98 00:00,0,85,62,-1,{6E086F41-B81D-4BDC-9F13-0EEC488DC43E},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
16,446466105,1068,adventure-works\jo0,21,Production Supervisor - WC60,09 11 46 00:00,S,F,30 03 98 00:00,0,80,60,-1,{83FFAAC6-B895-481F-B897-14F965D4DA47},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
17,565090917,1074,adventure-works\doris0,185,Production Technician - WC10,06 05 46 00:00,M,F,11 04 98 00:00,0,86,63,-1,{692B8826-03B4-4C3B-82FC-1FC6F1409689},31 07 04 00:00,[Value],[Table],[Table],[Table],[Table]
